No,Student ID,Year,Month,Day,Start Hour,Start Minute,End Hour,End Minute,Attendance Status
1,19127349,2020,4,16,7,30,9,30,-1
1,19127349,2020,4,23,7,30,9,30,-1
1,19127349,2020,4,30,7,30,9,30,-1
1,19127349,2020,5,7,7,30,9,30,-1
1,19127349,2020,5,14,7,30,9,30,-1
1,19127349,2020,5,21,7,30,9,30,-1
1,19127349,2020,5,28,7,30,9,30,-1
1,19127349,2020,6,4,7,30,9,30,-1
1,19127349,2020,6,11,7,30,9,30,-1
1,19127349,2020,6,18,7,30,9,30,-1

2,19127257,2020,4,16,7,30,9,30,-1
2,19127257,2020,4,23,7,30,9,30,-1
2,19127257,2020,4,30,7,30,9,30,-1
2,19127257,2020,5,7,7,30,9,30,-1
2,19127257,2020,5,14,7,30,9,30,-1
2,19127257,2020,5,21,7,30,9,30,-1
2,19127257,2020,5,28,7,30,9,30,-1
2,19127257,2020,6,4,7,30,9,30,-1
2,19127257,2020,6,11,7,30,9,30,-1
2,19127257,2020,6,18,7,30,9,30,-1

3,19127034,2020,4,16,7,30,9,30,-1
3,19127034,2020,4,23,7,30,9,30,-1
3,19127034,2020,4,30,7,30,9,30,-1
3,19127034,2020,5,7,7,30,9,30,-1
3,19127034,2020,5,14,7,30,9,30,-1
3,19127034,2020,5,21,7,30,9,30,-1
3,19127034,2020,5,28,7,30,9,30,-1
3,19127034,2020,6,4,7,30,9,30,-1
3,19127034,2020,6,11,7,30,9,30,-1
3,19127034,2020,6,18,7,30,9,30,-1

4,19127051,2020,4,16,7,30,9,30,-1
4,19127051,2020,4,23,7,30,9,30,-1
4,19127051,2020,4,30,7,30,9,30,-1
4,19127051,2020,5,7,7,30,9,30,-1
4,19127051,2020,5,14,7,30,9,30,-1
4,19127051,2020,5,21,7,30,9,30,-1
4,19127051,2020,5,28,7,30,9,30,-1
4,19127051,2020,6,4,7,30,9,30,-1
4,19127051,2020,6,11,7,30,9,30,-1
4,19127051,2020,6,18,7,30,9,30,-1

